oid_evbc_b64,total_assessed_value,total_assessed_building,total_assessed_land,previous_total,previous_land,previous_building,year_built,address,geometry,bedrooms,bathrooms,carport,garage,storeys,sales_history,zoning,pid
QTAwMDBNMVIySw==,1705000,619000,1086000,1758000,1086000,672000,1963,4621 KEITH AVE,"[[-1431456306, 726760867], [-1431456303, 726761036], [-1431456269, 726762711], [-1431455878, 726782141], [-1431455644, 726793761], [-1431438193, 726793384], [-1431438446, 726782141], [-1431438921, 726760934], [-1431438931, 726760495], [-1431456306, 726760867]]",,,0,0,3,[],C3,013-954-342
RDAwMDBXMlNZWQ==,384000,0,384000,384000,384000,0,,2611 KERR ST,"[[-1431388198, 726710060], [-1431387908, 726723037], [-1431372193, 726722697], [-1431373013, 726690666], [-1431386867, 726690952], [-1431388593, 726690988], [-1431388373, 726702201], [-1431388198, 726710060]]",,,0,0,,[],R3,029-638-232
QTAwMDBNMVIyTg==,323100,118000,205100,314100,205100,109000,1957,4733 GRAHAM AVE,"[[-1431564363, 726551150], [-1431564091, 726564302], [-1431564037, 726566926], [-1431562167, 726657392], [-1431544886, 726657025], [-1431547110, 726549594], [-1431547619, 726549575], [-1431548478, 726549558], [-1431549507, 726549506], [-1431550430, 726549450], [-1431551724, 726549304], [-1431552722, 726549220], [-1431553690, 726549123], [-1431554902, 726548911], [-1431555864, 726548699], [-1431557113, 726548363], [-1431558579, 726548393], [-1431561529, 726549974], [-1431564363, 726551150]]",3,1,0,0,,[],AR1,013-965-581
QTAwMDBNMVIyUA==,416640,411000,5640,319840,5640,314200,1950,4723 GRAHAM AVE,"[[-1431547110, 726549594], [-1431544886, 726657025], [-1431527605, 726656658], [-1431529805, 726550499], [-1431530044, 726550473], [-1431531073, 726550411], [-1431531996, 726550365], [-1431533025, 726550313], [-1431534042, 726550261], [-1431534996, 726550248], [-1431536329, 726550156], [-1431537443, 726550066], [-1431538438, 726550055], [-1431540022, 726549984], [-1431540913, 726549948], [-1431542308, 726549890], [-1431543534, 726549867], [-1431544446, 726549842], [-1431545402, 726549756], [-1431546434, 726549620], [-1431547110, 726549594]]",3,1,0,0,,[],AR1,013-954-296
QTAwMDBNMVIyUQ==,185986,151000,34986,185986,34986,151000,1912,4713 GRAHAM AVE,"[[-1431529805, 726550499], [-1431527605, 726656658], [-1431510324, 726656290], [-1431512508, 726551061], [-1431513519, 726551068], [-1431514533, 726551089], [-1431515698, 726551032], [-1431516884, 726550966], [-1431517924, 726550883], [-1431519081, 726550743], [-1431520026, 726550687], [-1431520885, 726550670], [-1431521859, 726550669], [-1431523215, 726550788], [-1431524156, 726550817], [-1431525423, 726550827], [-1431526293, 726550790], [-1431527174, 726550753], [-1431528287, 726550683], [-1431529140, 726550572], [-1431529805, 726550499]]",3,2,0,0,,[],AR1,013-961-781
QTAwMDBNMVIyUg==,533700,364000,169700,526700,169700,357000,1943,4701 GRAHAM AVE,"[[-1431503860, 726551326], [-1431501683, 726656107], [-1431493042, 726655923], [-1431495129, 726555550], [-1431495277, 726555432], [-1431496121, 726554785], [-1431497099, 726554165], [-1431497903, 726553715], [-1431498801, 726553259], [-1431499966, 726552699], [-1431500843, 726552242], [-1431501838, 726551738], [-1431502747, 726551513], [-1431503860, 726551326]]",3,2,0,0,,[],AR1,013-954-318
QTAwMDBNMVIyUw==,220502,185000,35502,222502,35502,187000,1957,4705 GRAHAM AVE,"[[-1431512508, 726551061], [-1431510324, 726656290], [-1431501683, 726656107], [-1431503860, 726551326], [-1431504970, 726551196], [-1431506260, 726551145], [-1431507267, 726551102], [-1431508261, 726551102], [-1431509150, 726551139], [-1431510102, 726551147], [-1431511288, 726551091], [-1431512304, 726551060], [-1431512508, 726551061]]",2,1,0,0,,[],AR1,013-111-221
QTAwMDBNMVY3Vg==,50600,50600,0,53600,0,53600,1975,1-4625 GRAHAM AVE,"[[-1431485453, 726564113], [-1431486323, 726563393], [-1431484545, 726648851], [-1431484401, 726655738], [-1431475761, 726655554], [-1431467120, 726655370], [-1431468695, 726579787], [-1431468792, 726579721], [-1431468971, 726579598], [-1431470129, 726578441], [-1431470825, 726577809], [-1431471816, 726576885], [-1431472488, 726576346], [-1431473225, 726575726], [-1431474094, 726574985], [-1431475015, 726574226], [-1431475709, 726573636], [-1431476424, 726573078], [-1431477077, 726572475], [-1431477499, 726572057], [-1431477983, 726571579], [-1431478693, 726570874], [-1431479369, 726570220], [-1431480045, 726569576], [-1431480764, 726568892], [-1431481486, 726568146], [-1431482182, 726567503], [-1431483072, 726566511], [-1431483786, 726565701], [-1431484593, 726564906], [-1431485453, 726564113]]",,,0,0,,"[{""date"": ""2015-05-01"", ""price"": 58000}]",,
QTAwMDBNMVY3Vw==,38000,38000,0,40400,0,40400,1974,2-4625 GRAHAM AVE,"[[-1431485453, 726564113], [-1431486323, 726563393], [-1431484545, 726648851], [-1431484401, 726655738], [-1431475761, 726655554], [-1431467120, 726655370], [-1431468695, 726579787], [-1431468792, 726579721], [-1431468971, 726579598], [-1431470129, 726578441], [-1431470825, 726577809], [-1431471816, 726576885], [-1431472488, 726576346], [-1431473225, 726575726], [-1431474094, 726574985], [-1431475015, 726574226], [-1431475709, 726573636], [-1431476424, 726573078], [-1431477077, 726572475], [-1431477499, 726572057], [-1431477983, 726571579], [-1431478693, 726570874], [-1431479369, 726570220], [-1431480045, 726569576], [-1431480764, 726568892], [-1431481486, 726568146], [-1431482182, 726567503], [-1431483072, 726566511], [-1431483786, 726565701], [-1431484593, 726564906], [-1431485453, 726564113]]",,,0,0,,"[{""date"": ""2014-09-10"", ""price"": 40000}]",,
QTAwMDBNMVY3WQ==,48000,48000,0,45700,0,45700,1981,3-4625 GRAHAM AVE,"[[-1431485453, 726564113], [-1431486323, 726563393], [-1431484545, 726648851], [-1431484401, 726655738], [-1431475761, 726655554], [-1431467120, 726655370], [-1431468695, 726579787], [-1431468792, 726579721], [-1431468971, 726579598], [-1431470129, 726578441], [-1431470825, 726577809], [-1431471816, 726576885], [-1431472488, 726576346], [-1431473225, 726575726], [-1431474094, 726574985], [-1431475015, 726574226], [-1431475709, 726573636], [-1431476424, 726573078], [-1431477077, 726572475], [-1431477499, 726572057], [-1431477983, 726571579], [-1431478693, 726570874], [-1431479369, 726570220], [-1431480045, 726569576], [-1431480764, 726568892], [-1431481486, 726568146], [-1431482182, 726567503], [-1431483072, 726566511], [-1431483786, 726565701], [-1431484593, 726564906], [-1431485453, 726564113]]",,,0,0,,[],,
